feature,value,shap_value,abs_shap
d1_heartrate_min,0.0,1.13951379039488,1.13951379039488
d1_lactate_min,11.9,1.0142551935690993,1.0142551935690993
d1_spo2_min,32.0,0.6168565593178378,0.6168565593178378
age,47.0,-0.46139672901087947,0.46139672901087947
d1_sysbp_min,41.0,0.4035142130754406,0.4035142130754406
apache_3j_diagnosis,101.01,0.3959454026019251,0.3959454026019251
d1_arterial_ph_max,7.05428,0.34174945136878887,0.34174945136878887
d1_arterial_ph_min,6.9,0.3370432524393829,0.3370432524393829
ventilated_apache,1.0,0.3227052508940914,0.3227052508940914
d1_mbp_min,25.0,0.2522371333638376,0.2522371333638376
d1_hco3_max,12.0,0.2461850373581358,0.2461850373581358
d1_heartrate_max,159.0,0.24121121856192393,0.24121121856192393
d1_lactate_max,11.9,0.22933576883164097,0.22933576883164097
gcs_motor_apache,4.0,0.1988483382036545,0.1988483382036545
d1_inr_max,5.2,0.18029231289976905,0.18029231289976905
gcs_eyes_apache,1.0,0.17711681598097265,0.17711681598097265
d1_wbc_min,27.42,0.16971973977360466,0.16971973977360466
gcs_verbal_apache,1.0,0.15044929705525603,0.15044929705525603
d1_bun_max,42.0,0.1446351906243053,0.1446351906243053
d1_sysbp_invasive_max,94.0,0.13217740036134856,0.13217740036134856
d1_diasbp_invasive_min,13.0,0.12165909733354462,0.12165909733354462
d1_inr_min,3.0,0.11081231971278241,0.11081231971278241
d1_sysbp_noninvasive_min,41.03,0.10890733454126146,0.10890733454126146
d1_bun_min,42.0,0.10183607974371493,0.10183607974371493
d1_resprate_max,50.0,0.10040429206476004,0.10040429206476004
h1_glucose_max,61.0,-0.09972189782728383,0.09972189782728383
d1_potassium_min,5.7,0.092543686802812,0.092543686802812
h1_spo2_min,64.0,-0.09078042584979308,0.09078042584979308
d1_mbp_invasive_min,17.0,0.0901194553208999,0.0901194553208999
h1_heartrate_min,80.0,0.07369164031775563,0.07369164031775563
d1_diasbp_min,17.0,0.06946030978153171,0.06946030978153171
map_apache,40.0,0.06688431193456616,0.06688431193456616
h1_inr_max,5.2,0.06615405494981558,0.06615405494981558
apache_2_diagnosis,115.0,0.061419101542995874,0.061419101542995874
d1_mbp_noninvasive_min,25.0,0.060069481056373865,0.060069481056373865
diabetes_mellitus,1.0,-0.05876118995884423,0.05876118995884423
d1_sysbp_invasive_min,31.0,0.0566778869697352,0.0566778869697352
elective_surgery,0.0,0.0543621780195803,0.0543621780195803
pre_icu_los_days,0.033333333,-0.052177876368808544,0.052177876368808544
creatinine_apache,3.3,0.05058884921396936,0.05058884921396936
urineoutput_apache,1379.808,0.04955245397157787,0.04955245397157787
d1_arterial_po2_max_missing,0.0,0.04247394142294008,0.04247394142294008
d1_mbp_max,123.0,-0.04216077104414504,0.04216077104414504
resprate_apache,34.0,0.041462014559177585,0.041462014559177585
d1_diasbp_max,115.0,-0.04144281103483762,0.04144281103483762
h1_mbp_invasive_min,64.0,-0.04123646532012163,0.04123646532012163
d1_temp_min,36.4,-0.041143161399035406,0.041143161399035406
h1_diasbp_noninvasive_max,115.0,0.040209788667137536,0.040209788667137536
d1_glucose_min,61.0,-0.03921237773814357,0.03921237773814357
d1_hemaglobin_max,10.7,0.03587872332662015,0.03587872332662015
h1_mbp_max,122.0,-0.03544407683321399,0.03544407683321399
h1_spo2_max,85.0,0.03524185109644655,0.03524185109644655
d1_creatinine_max,3.3,0.0347890546923943,0.0347890546923943
d1_resprate_min,0.0,0.03305985901625876,0.03305985901625876
apache_3j_bodysystem_Metabolic,0.0,0.03293751116981776,0.03293751116981776
d1_hemaglobin_min,10.7,0.03206586179196539,0.03206586179196539
d1_hco3_min,9.0,0.030911019777592492,0.030911019777592492
d1_glucose_max,328.0,-0.026604433153778334,0.026604433153778334
d1_diasbp_noninvasive_min,17.0,0.025644830411307405,0.025644830411307405
d1_sysbp_max,141.0,-0.025344957658401127,0.025344957658401127
h1_heartrate_max,81.0,0.025117330849308558,0.025117330849308558
bilirubin_apache,0.62,0.02457117738781637,0.02457117738781637
d1_calcium_min,6.7,-0.02361803936273034,0.02361803936273034
h1_diasbp_min,22.0,0.02311964021265609,0.02311964021265609
d1_temp_max,36.7,-0.021960924359474682,0.021960924359474682
d1_potassium_max,5.7,0.021484877732492278,0.021484877732492278
d1_hematocrit_max,36.0,0.021208046279566024,0.021208046279566024
d1_mbp_noninvasive_max,123.0,-0.020457364936639456,0.020457364936639456
hematocrit_apache,36.0,0.019467488459730002,0.019467488459730002
h1_inr_min,3.0,0.01916288593618388,0.01916288593618388
icu_admit_source_Operating Room / Recovery,0.0,0.019098911033021082,0.019098911033021082
h1_temp_min,36.4,0.01799863606295183,0.01799863606295183
d1_sodium_max,135.0,0.017415358695367106,0.017415358695367106
h1_mbp_noninvasive_min,32.0,0.01686254380494002,0.01686254380494002
apache_2_bodysystem_Cardiovascular,1.0,-0.016676573379434793,0.016676573379434793
age_missing,0.0,-0.016650662569956877,0.016650662569956877
icu_type_Med-Surg ICU,1.0,-0.01660673148211489,0.01660673148211489
bun_apache,42.0,0.0164285862678427,0.0164285862678427
d1_diasbp_noninvasive_max,115.0,-0.015917754104804366,0.015917754104804366
d1_platelets_max,117.0,0.015629438645641414,0.015629438645641414
bmi,25.08474405,-0.015119372257654463,0.015119372257654463
h1_sysbp_min,53.0,-0.014924504624632757,0.014924504624632757
d1_wbc_max,27.42,0.01485599568194027,0.01485599568194027
apache_3j_bodysystem_Neurological,0.0,-0.014378291845253141,0.014378291845253141
d1_spo2_max,100.0,-0.013302084517662124,0.013302084517662124
h1_sysbp_noninvasive_min,53.0,-0.012502288196079884,0.012502288196079884
d1_bilirubin_max,0.6,0.012448270719178344,0.012448270719178344
d1_inr_max_missing,0.0,0.011722017022197873,0.011722017022197873
wbc_apache,27.42,0.01171492079471426,0.01171492079471426
d1_sysbp_invasive_max_missing,0.0,0.011658610407544567,0.011658610407544567
h1_temp_max,36.4,-0.011620302150014418,0.011620302150014418
d1_arterial_po2_max,274.0,0.011445952493789772,0.011445952493789772
h1_sysbp_noninvasive_max,131.0,-0.011185875848867174,0.011185875848867174
h1_sysbp_max,131.0,-0.011163386649278292,0.011163386649278292
apache_3j_bodysystem_Sepsis,0.0,0.010971775300481927,0.010971775300481927
hospital_admit_source_Emergency Department,1.0,-0.010840688768295182,0.010840688768295182
apache_3j_bodysystem_Cardiovascular,1.0,-0.010673798670783854,0.010673798670783854
d1_mbp_invasive_max_missing,0.0,0.010671666111387753,0.010671666111387753
d1_hematocrit_min,36.0,0.010619923471096632,0.010619923471096632
d1_platelets_min,117.0,-0.01042882650196677,0.01042882650196677
gender,0.0,-0.010188702585338024,0.010188702585338024
d1_sysbp_noninvasive_max,141.0,-0.010086428030037757,0.010086428030037757
d1_arterial_ph_max_missing,0.0,0.009534886000369787,0.009534886000369787
